2025-08-04 09:01:19.665 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration – Located property source: [BootstrapPropertySource {name='bootstrapProperties-secret/Reservas-ms'}, BootstrapPropertySource {name='bootstrapProperties-secret/application'}]
2025-08-04 09:01:31.248 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'default.org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration.LoadBalancerClientSpecification' of type [org.springframework.cloud.loadbalancer.annotation.LoadBalancerClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.256 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'default.org.springframework.cloud.netflix.eureka.loadbalancer.LoadBalancerEurekaAutoConfiguration.LoadBalancerClientSpecification' of type [org.springframework.cloud.loadbalancer.annotation.LoadBalancerClientSpecification] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.275 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'loadBalancerClientFactory' of type [org.springframework.cloud.loadbalancer.support.LoadBalancerClientFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.330 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'blockingLoadBalancerClient' of type [org.springframework.cloud.loadbalancer.blocking.client.BlockingLoadBalancerClient] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.414 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'loadBalancerServiceInstanceCookieTransformer' of type [org.springframework.cloud.loadbalancer.core.LoadBalancerServiceInstanceCookieTransformer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.431 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'xForwarderHeadersTransformer' of type [org.springframework.cloud.loadbalancer.blocking.XForwardedHeadersTransformer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.443 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.458 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'loadBalancerRequestFactory' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerRequestFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.501 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerRetryConfig' of type [org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerRetryConfig$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.548 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'loadBalancedRetryFactory' of type [org.springframework.cloud.loadbalancer.blocking.retry.BlockingLoadBalancedRetryFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:31.587 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker – Bean 'loadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.RetryLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-08-04 09:01:33.255 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat initialized with port 61200 (http)
2025-08-04 09:01:33.295 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Initializing ProtocolHandler ["http-nio-61200"]
2025-08-04 09:01:33.301 [main] INFO  o.a.catalina.core.StandardService – Starting service [Tomcat]
2025-08-04 09:01:33.302 [main] INFO  o.a.catalina.core.StandardEngine – Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-08-04 09:01:33.558 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring embedded WebApplicationContext
2025-08-04 09:01:33.559 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext – Root WebApplicationContext: initialization completed in 11390 ms
2025-08-04 09:01:36.185 [main] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-04 09:01:36.417 [main] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 6.4.10.Final
2025-08-04 09:01:36.530 [main] INFO  o.h.c.i.RegionFactoryInitiator – HHH000026: Second-level cache disabled
2025-08-04 09:01:37.626 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo – No LoadTimeWeaver setup: ignoring JPA class transformer
2025-08-04 09:01:37.729 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Starting...
2025-08-04 09:01:39.246 [main] INFO  com.zaxxer.hikari.pool.HikariPool – HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@403b7be3
2025-08-04 09:01:39.253 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Start completed.
2025-08-04 09:01:39.629 [main] WARN  org.hibernate.orm.deprecation – HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-08-04 09:01:39.633 [main] WARN  org.hibernate.orm.deprecation – HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-08-04 09:01:42.857 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-08-04 09:01:44.575 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-04 09:01:45.046 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration – spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-04 09:01:45.622 [main] INFO  o.s.c.o.FeignClientFactoryBean – For 'GestVuelos-ms' URL not provided. Will try picking an instance via load-balancing.
2025-08-04 09:01:52.483 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver – Exposing 3 endpoint(s) beneath base path '/actuator'
2025-08-04 09:01:53.253 [main] INFO  o.s.s.web.DefaultSecurityFilterChain – Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@34902fe6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4748a39a, org.springframework.security.web.context.SecurityContextHolderFilter@3a5ecb62, org.springframework.security.web.header.HeaderWriterFilter@fd42b93, org.springframework.security.web.csrf.CsrfFilter@31e5554e, org.springframework.security.web.authentication.logout.LogoutFilter@548c7eab, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@7a6cd9e0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e1ece3d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@60d46bd7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@41da4be8, org.springframework.security.web.access.ExceptionTranslationFilter@28ec9c23, org.springframework.security.web.access.intercept.AuthorizationFilter@278e4dc4]
2025-08-04 09:01:57.552 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration – Eureka HTTP Client uses RestTemplate.
2025-08-04 09:01:57.787 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger – Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-04 09:01:58.316 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory – Setting initial instance status as: STARTING
2025-08-04 09:01:58.481 [main] INFO  c.netflix.discovery.DiscoveryClient – Initializing Eureka in region us-east-1
2025-08-04 09:01:58.499 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:01:58.586 [main] INFO  c.netflix.discovery.DiscoveryClient – Disable delta property : false
2025-08-04 09:01:58.587 [main] INFO  c.netflix.discovery.DiscoveryClient – Single vip registry refresh property : null
2025-08-04 09:01:58.588 [main] INFO  c.netflix.discovery.DiscoveryClient – Force full registry fetch : false
2025-08-04 09:01:58.588 [main] INFO  c.netflix.discovery.DiscoveryClient – Application is null : false
2025-08-04 09:01:58.588 [main] INFO  c.netflix.discovery.DiscoveryClient – Registered Applications size is zero : true
2025-08-04 09:01:58.588 [main] INFO  c.netflix.discovery.DiscoveryClient – Application version is -1: true
2025-08-04 09:01:58.589 [main] INFO  c.netflix.discovery.DiscoveryClient – Getting all instance registry info from the eureka server
2025-08-04 09:01:58.849 [main] INFO  c.netflix.discovery.DiscoveryClient – The response status is 200
2025-08-04 09:01:58.862 [main] INFO  c.netflix.discovery.DiscoveryClient – Starting heartbeat executor: renew interval is: 30
2025-08-04 09:01:58.869 [main] INFO  c.n.discovery.InstanceInfoReplicator – InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-08-04 09:01:58.885 [main] INFO  c.netflix.discovery.DiscoveryClient – Discovery Client initialized at timestamp 1754290918882 with initial instances count: 2
2025-08-04 09:01:58.943 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry – Registering application RESERVAS-MS with eureka with status UP
2025-08-04 09:01:58.948 [main] INFO  c.netflix.discovery.DiscoveryClient – Saw local status change event StatusChangeEvent [timestamp=1754290918948, current=UP, previous=STARTING]
2025-08-04 09:01:58.954 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient – DiscoveryClient_RESERVAS-MS/Reservas-ms:56224478-9f3a-4b4c-86cf-2436ca8b2cdc: registering service...
2025-08-04 09:01:58.956 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Starting ProtocolHandler ["http-nio-61200"]
2025-08-04 09:01:59.049 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat started on port 61200 (http) with context path ''
2025-08-04 09:01:59.050 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration – Updating port to 61200
2025-08-04 09:01:59.125 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient – DiscoveryClient_RESERVAS-MS/Reservas-ms:56224478-9f3a-4b4c-86cf-2436ca8b2cdc - registration status: 204
2025-08-04 09:01:59.616 [main] INFO  c.jao.booking.ReservasMsApplication – Started ReservasMsApplication in 47.503 seconds (process running for 50.864)
2025-08-04 09:02:00.687 [RMI TCP Connection(11)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-04 09:02:00.687 [RMI TCP Connection(11)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet – Initializing Servlet 'dispatcherServlet'
2025-08-04 09:02:00.696 [RMI TCP Connection(11)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet – Completed initialization in 8 ms
2025-08-04 09:06:58.629 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:11:58.702 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:16:58.761 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:21:58.818 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:26:58.827 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:31:58.844 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:36:58.889 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:41:58.956 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:46:59.305 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:51:59.600 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 09:56:59.623 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:01:59.655 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:06:59.664 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:11:59.693 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:16:59.741 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:21:59.760 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:26:59.767 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:31:59.788 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:36:59.809 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:41:59.855 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:46:59.876 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:51:59.901 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 10:56:59.907 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:01:59.918 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:06:59.924 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:11:59.936 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:16:59.943 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:21:59.953 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:26:59.967 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:31:59.985 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:37:00.022 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:42:00.053 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:47:00.087 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:52:00.095 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 11:57:00.100 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 12:02:00.108 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver – Resolving eureka endpoints via configuration
2025-08-04 12:21:27.304 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool – HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=17m44s406ms774µs900ns).
